product_code,product_name,length,color,source_sheet,source_row
Y6317,SIVA ÜSTÜ TAVAN LED PROFİLİ,3MT,SİYAH BEYAZ,KATALOG,4
Y6131,15MM TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,5
Y6279,22MM TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,6
Y6310,25MM TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,7
Y6211,32MM TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,8
Y6280,50MM TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,9
Y6282,15MM ESNEK TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,10
Y6281,18MM TERS TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,11
Y6283,20MM TERS TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,12
Y6272,15MM TEK KANATLI TRİMLESS LED PROFİLİ,3MT,HAM,KATALOG,13
Y6245,12MM TRİMLESS İÇ KÖŞE LED PROFİLİ,3MT,HAM,KATALOG,14
Y6246,12MM TRİMLESS DIŞ KÖŞE LED PROFİLİ,3MT,HAM,KATALOG,15
Y6287,10MM FAYANS İÇ KÖŞE LED PROFİLİ,3MT,MAT,KATALOG,16
Y6286,10MM FAYANS DIŞ KÖŞE LED PROFİLİ,3MT,MAT,KATALOG,17
Y2973,15MM İNDİREKT SIVA ALTI LED PROFİLİ,3MT,HAM,KATALOG,18
Y6273,LEDLİ ALÇIPAN Z PROFİLİ,3MT,SİYAH BEYAZ,KATALOG,19
Y6244,ALÇIPAN GİZLİ LED PROFİLİ,3MT,HAM,KATALOG,20
Y6249,ALÇIPAN GİZLİ LED PROFİLİ,3MT,HAM,KATALOG,21
Y6304,ALÇIPAN GİZLİ LED PROFİLİ,3MT,HAM,KATALOG,22
Y7054,TAVAN KÖŞE LED PROFİLİ,3MT,SİYAH BEYAZ,KATALOG,23
Y111,KARTONPİYER LED PROFİLİ,3MT,BEYAZ,KATALOG,24
Y7055,GİZLİ KÖŞE LED PROFİLİ,3MT,HAM,KATALOG,25
Y96,100MM LEDLİ SÜPÜRGELİK PROFİLİ,3MT,SİYAH BEYAZ,KATALOG,26
Y6231,90MM ALTI OVAL LEDLİ SÜPÜRGELİK PROFİLİ,3MT,SİYAH BEYAZ,KATALOG,27
Y6247,45MM SIVA ALTI LEDLİ SÜPÜRGELİK PROFİLİ,3MT,SİYAH HAM,KATALOG,28
Y7054,52X61 LEDLİ BASAMAK PROFİLİ,3MT,MAT,KATALOG,29
Y6301,25X65 LEDLİ BASAMAK PROFİLİ,3MT,MAT,KATALOG,30
Y6308,FAYANS LEDLİ BASAMAK PROFİLİ,3MT,MAT,KATALOG,31
Y6309,,,,KATALOG,32
Y74,15MM SIVA ÜSTÜ KANATLI LED PROFİLİ,3MT,HAM,KATALOG,33
Y6263,10X30 KANATLI LED PROFİLİ,3MT,HAM,KATALOG,34
Y6094,12X24 KANATLI LED PROFİLİ,3MT,HAM,KATALOG,35
Y6122,7X22 KANATLI LED PROFİLİ,3MT,HAM,KATALOG,36
Y6284,7X13 KANATLI LED PROFİLİ,3MT,HAM,KATALOG,37
Y6229,50MM KANAL LED PROFİLİ,3MT,HAM,KATALOG,38
Y6255,40MM KANAL LED PROFİLİ,3MT,HAM,KATALOG,39
Y6269,32MM KANAL LED PROFİLİ,3MT,HAM,KATALOG,40
Y6268,22MM KANAL LED PROFİLİ,3MT,HAM,KATALOG,41
Y6129,10X18 KANAL LED PROFİLİ,3MT,HAM,KATALOG,42
Y6093,12X18 KANAL LED PROFİLİ,3MT,HAM,KATALOG,43
Y6261,7X13 KANAL LED PROFİLİ,3MT,HAM,KATALOG,44
Y6265,6X10 KANAL LED PROFİLİ,3MT,HAM,KATALOG,45
Y6124,16X25 KÖŞE LED PROFİLİ,3MT,HAM,KATALOG,46
Y6235,11X15 NEON LED KANALI,3MT,HAM,KATALOG,47
Y1264,8X5 LİNEAR KASA,3MT,SİYAH,KATALOG,48
Y6190,4MM DIŞ KÖŞE PROFİLİ (PVC DUVAR PANEL),2.70MT,,KATALOG,49
Y6188,4MM İÇ KÖŞE PROFİLİ (PVC DUVAR PANEL),2.70MT,,KATALOG,50
Y6189,4MM H BİRLEŞİM PROFİLİ (PVC DUVAR PANEL),2.70MT,,KATALOG,51
Y6191,4MM U BİTİM PROFİLİ,2.70MT,,KATALOG,52
Y6205,10MM T GEÇİŞ PROFİLİ,2.70MT,,KATALOG,53
Y6096,XXXX L KÖŞE PROFİLİ,2.70MT,,KATALOG,54
Y1006,100MM DÜZ SÜPÜRGELİK PROFİLİ,3MT,,KATALOG,55
Y5165,80MM DÜZ SÜPÜRGELİK PROFİLİ,3MT,,KATALOG,56
Y5166,80MM PAHLI SÜPÜRGELİK PROFİLİ,3MT,,KATALOG,57
Y106.1,DIŞ KÖŞE APARATI,-,,KATALOG,58
Y106.2,İÇ KÖŞE APARATI,-,,KATALOG,59
Y106.3,BİTİŞ APARATI,-,,KATALOG,60
Y5481,XXXX FUGA PROFİLİ,3MT,HAM,KATALOG,61
Y7010,XXXX ALÇIPAN Z PROFİLİ,3MT,BEYAZ,KATALOG,62
